Timestamp,Title,Youtube link,Tags,Notes
29/04/2026 15:50:23,18/04/26 Teo Level 4 combo,https://youtube.com/shorts/7b9FbjqB0Vk,"partnerwork, combo, double-turn, setenta, intermediate",
29/04/2026 15:53:41,07/04/26 Sam level 3 combo,https://youtube.com/shorts/MgEC2wDaNdo?si=yhECEzbzCnwiaRnF,"partnerwork, combo, wrap, unwind, hammerlock, advanced",
29/04/2026 16:50:57,14/04/26 Tom Level 2: Montaña combo,https://youtube.com/shorts/I8NgqJ_krmA,"partnerwork, combo",
29/04/2026 16:50:57,29/11/26 Nico: Son cubano,https://youtube.com/shorts/av_asgNRUxw?feature=share,"son-cubano, nico",Breakdown video: https://youtube.com/shorts/aY3AVfV3MPc
29/04/2026 16:50:57,12/09/2024 Mac: bachata,https://youtube.com/shorts/apwcaqn5a3g?feature=share,"bachata, Mac",
29/04/2026 16:50:57,11/04/24 Alberto routine,https://youtube.com/shorts/geP1PnapwYs?feature=share,"Alberto, salsa",
29/04/2026 16:50:57,30/04/24 Mac: bachata,https://youtube.com/shorts/_qXehBNxRPo,"bachata, Mac",
29/04/2026 17:09:19,Montaña,https://youtu.be/X9Ad-ljIw-c?si=50ckEvYO7OUNak5_,,
01/05/2026 20:22:42,"Mani level 4 april 1, 2026",https://youtube.com/shorts/vk4UQFN9100?si=i-Vu3qQEMg5L1-Vy,"partnerwork, combo, turn, partnerwork","This is fun! I think I got this one, would love to drill this down with Rachel "
08/05/2026 20:27:39,Tomas level 3: may 8th 2026,https://youtube.com/shorts/I89bShYmyXU?si=EHCvuNnAhE-He4bl,"partnerwork, combo, double-turn, enchufla, setenta","Didn't get the reverse setenta, tunnel part"
08/05/2026 20:29:01,Mani level 4: may 8th ,https://youtube.com/shorts/ZF-ZowvN1gE?si=s1MD29yXZu6dA9uC,"partnerwork, styling, advanced",Remeber to hold the hand durning the hook! 
10/05/2026 14:27:52,Choreo short BAD BUNNY - BAILE INOLVIDABLE - Salsa Dance | Daniel Rosas & Elisabel Arnelas,https://youtu.be/8GbwJX63n4U?si=vrmIj7PWK7wCTr-B,partnerwork,
